Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_BUSY,CPC_CPC_UTCL2IU_IDLE,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,SPI_RA_RES_STALL_CSN,SPI_RA_TMP_STALL_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_LDS,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_TRANS_F64,SQ_INST_LEVEL_LDS,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_BUFFER_COALESCED_WRITE_CYCLES_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_TOTAL_ATOMIC_WITH_RET_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TOTAL_WRITEBACK_INVALIDATES_sum,TD_COALESCABLE_WAVEFRONT_sum
0,4,7,206678,207203,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162229517564,2309162229533924,1,10,2548.0,140931.0,3491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
1,7,12,206678,207207,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162322300073,2309162322316233,2,20,2581.0,138050.0,3551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
2,1,9,206678,207206,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162431098284,2309162431113964,3,30,2585.0,139513.0,3565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
3,2,11,206678,207204,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162539028127,2309162539044287,4,40,3880.0,142913.0,3619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
4,6,10,206678,207202,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162668808077,2309162668822957,5,50,3516.0,132398.0,3160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
5,3,14,206678,207205,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162755299538,2309162755315578,6,60,3859.0,140863.0,3467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
6,5,15,206678,207201,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162863338938,2309162863354658,7,70,2425.0,139567.0,3548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
7,0,13,206678,207200,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309162971485066,2309162971500026,8,80,3424.0,132139.0,3051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
8,0,13,206678,206678,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309163248921432,2309163248936432,9,80,6081.0,133326.0,3038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
9,0,16,206678,206678,512,256,0,0,4,0,16,64,wrapped_iota,2309164361794515,2309164361797355,10,81,3317.0,62075.0,2966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,8.0
10,0,17,206678,207456,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309164380339515,2309164380342715,11,77,4950.0,78233.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0
