Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,SQ_ACCUM_PREV_HIRES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_WAVES,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TD_LOAD_WAVEFRONT_sum,TD_SPI_STALL_sum
0,4,8,217745,218272,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311821916204760,2311821916220681,1,10,786.0,143613.0,7853.0,0.0,144399.0,144399.0,80.0,320.0,0.0,106240.0,26127.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
1,5,9,217745,218270,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822009033362,2311822009049323,2,20,786.0,142585.0,9061.0,0.0,143371.0,143371.0,80.0,320.0,0.0,106240.0,25956.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
2,6,12,217745,218269,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822163182645,2311822163197086,3,30,786.0,134769.0,8834.0,0.0,135555.0,135555.0,80.0,320.0,0.0,106240.0,24782.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
3,0,10,217745,218267,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822226257161,2311822226272201,4,40,786.0,135657.0,8000.0,0.0,136443.0,136443.0,80.0,320.0,0.0,106240.0,25180.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
4,3,15,217745,218268,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822336326550,2311822336342270,5,50,786.0,142130.0,7786.0,0.0,142916.0,142916.0,80.0,320.0,0.0,106240.0,25747.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
5,1,13,217745,218273,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822445739827,2311822445755788,6,60,786.0,145194.0,8380.0,0.0,145980.0,145980.0,80.0,320.0,0.0,106240.0,26088.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
6,7,11,217745,218274,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822555637653,2311822555653574,7,70,786.0,143466.0,9096.0,0.0,144252.0,144252.0,80.0,320.0,0.0,106240.0,26266.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
7,2,14,217745,218271,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822663881406,2311822663897606,8,80,786.0,146977.0,7715.0,0.0,147763.0,147763.0,80.0,320.0,0.0,106240.0,25714.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
8,0,10,217745,217745,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311822936055972,2311822936070813,9,40,786.0,137874.0,8594.0,0.0,138660.0,138660.0,0.0,0.0,0.0,106240.0,24526.0,603840.0,131200.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,25600.0,0.0,25600.0,0.0
9,0,17,217745,218523,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311823891928663,2311823891934303,10,38,786.0,88931.0,9045.0,0.0,89717.0,89717.0,0.0,0.0,0.0,75.0,70.0,299.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
10,0,16,217745,217745,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311823916603271,2311823916606911,11,38,785.0,75232.0,8728.0,0.0,76017.0,76017.0,0.0,0.0,0.0,75.0,56.0,299.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
11,0,16,217745,217745,131072,256,0,0,8,0,16,64,wrapped_broadcast,2311823943094850,2311823943099050,12,81,682.0,67280.0,8779.0,0.0,67962.0,67962.0,0.0,0.0,0.0,6144.0,11154.0,28672.0,14336.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,2048.0,0.0,2048.0,0.0
12,0,16,217745,217745,262144,256,0,0,12,0,32,64,softmax_kernel__1,2311823989187976,2311823989194656,13,82,682.0,80524.0,25827.0,0.0,81206.0,81206.0,0.0,0.0,0.0,122880.0,34719.0,724992.0,454656.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,8192.0,0.0,8192.0,34.0
13,0,17,217745,218522,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311824014886818,2311824014891898,14,38,1714.0,80606.0,16671.0,0.0,82320.0,82320.0,0.0,0.0,0.0,75.0,66.0,299.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0
14,0,16,217745,217745,65536,256,0,0,20,0,16,64,input_reduce_fusion,2311824015434260,2311824015438340,15,84,682.0,66364.0,9017.0,0.0,67046.0,67046.0,0.0,0.0,0.0,18432.0,10259.0,124928.0,80896.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,5120.0,0.0,5120.0,0.0
15,0,16,217745,217745,1024,256,0,0,8,0,16,64,loop_maximum_fusion,2311824015671302,2311824015673702,16,83,682.0,58807.0,23558.0,0.0,59489.0,59489.0,0.0,0.0,0.0,48.0,114.0,240.0,112.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0
16,0,16,217745,217745,131072,256,0,0,8,0,16,64,loop_subtract_fusion,2311824034319438,2311824034323518,17,85,682.0,67664.0,15854.0,0.0,68346.0,68346.0,0.0,0.0,0.0,8192.0,11303.0,43008.0,24576.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,6144.0,0.0,6144.0,0.0
17,0,16,217745,217745,131072,256,0,0,20,0,16,64,wrapped_exponential,2311824051360226,2311824051364426,18,86,682.0,66975.0,9177.0,0.0,67657.0,67657.0,0.0,0.0,0.0,26624.0,15324.0,153600.0,118784.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,4096.0,0.0,4096.0,0.0
18,0,16,217745,217745,65536,256,0,0,16,0,16,64,input_reduce_fusion,2311824073030026,2311824073033546,19,87,682.0,63314.0,23849.0,0.0,63996.0,63996.0,0.0,0.0,0.0,13312.0,9225.0,83968.0,53248.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,5120.0,0.0,5120.0,0.0
19,0,16,217745,217745,131072,256,0,0,28,0,32,64,loop_divide_fusion,2311824091224349,2311824091228789,20,88,682.0,68223.0,21533.0,0.0,68905.0,68905.0,0.0,0.0,0.0,26624.0,15903.0,131072.0,106496.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,6144.0,0.0,6144.0,0.0
