Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_BUSY,CPC_CPC_UTCL2IU_IDLE,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,SPI_RA_RES_STALL_CSN,SPI_RA_TMP_STALL_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_LDS,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_TRANS_F64,SQ_INST_LEVEL_LDS,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_BUFFER_COALESCED_WRITE_CYCLES_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_TOTAL_ATOMIC_WITH_RET_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TOTAL_WRITEBACK_INVALIDATES_sum,TD_COALESCABLE_WAVEFRONT_sum
0,5,8,143402,143927,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177845624346680,2177845624362320,1,10,2402.0,134701.0,3553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
1,7,9,143402,143926,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177845717336612,2177845717352732,2,20,2624.0,147618.0,3417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
2,0,10,143402,143924,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177845827888168,2177845827902968,3,30,2240.0,133908.0,3123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
3,2,15,143402,143931,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177845937946205,2177845937962125,4,40,2410.0,140534.0,3645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
4,6,13,143402,143925,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177846068845459,2177846068862139,5,50,3963.0,141549.0,3409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
5,1,11,143402,143930,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177846157271440,2177846157348120,6,60,55580.0,442589.0,3779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,1020.0,0.0
6,4,12,143402,143928,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177846267678776,2177846267694976,7,70,2355.0,141246.0,3521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
7,3,14,143402,143929,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177846377872869,2177846377888629,8,80,4055.0,141857.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
8,0,10,143402,143402,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177846663491125,2177846663505965,9,30,4908.0,131891.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
9,0,16,143402,143402,512,256,0,0,4,0,16,64,wrapped_iota,2177848578324458,2177848578327378,10,81,3140.0,60386.0,3014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,8.0
10,0,17,143402,144180,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177848595898506,2177848595903386,11,28,4885.0,96731.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0
11,0,16,143402,143402,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177848597519283,2177848597524443,12,28,2474.0,63551.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0
12,0,16,143402,143402,8192,256,0,0,8,0,32,64,add_kernel,2177849065339012,2177849065341612,13,82,2772.0,73562.0,3008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,32.0,288.0
13,0,17,143402,144180,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2177849091012364,2177849091015524,14,28,6327.0,62612.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0
