Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SMEM,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_TRANS_F16,SQ_INST_LEVEL_SMEM,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCP_VOLATILE_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum
0,7,9,144209,144732,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177860883043298,2177860883059298,1,10,38756.0,2410.0,0.0,137229.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28558.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
1,4,13,144209,144736,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177860975292937,2177860975308817,2,20,39950.0,2603.0,0.0,134444.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28318.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
2,2,11,144209,144738,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861088993966,2177861089009646,3,30,38815.0,2525.0,0.0,133348.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30570.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
3,5,12,144209,144734,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861196979999,2177861196996479,4,40,41186.0,2521.0,0.0,138615.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29384.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
4,6,5,144209,144733,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861309625979,2177861309751100,5,50,393825.0,11757.0,0.0,891629.0,0.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28580.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
5,1,8,144209,144737,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861416987101,2177861417002061,6,60,90040.0,3482.0,0.0,327210.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,27982.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
6,0,10,144209,144731,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861527013523,2177861527028523,7,70,38105.0,2143.0,0.0,129463.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28556.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
7,3,15,144209,144735,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861634756909,2177861634772909,8,80,38196.0,2460.0,0.0,132696.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29784.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
8,0,10,144209,144209,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177861921070355,2177861921085235,9,70,36588.0,4947.0,0.0,126189.0,24.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28358.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
9,0,16,144209,144209,512,256,0,0,4,0,16,64,wrapped_iota,2177863808842689,2177863808845449,10,81,25418.0,3026.0,0.0,49098.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,128.0,0.0,128.0,128.0,0.0,8.0
