Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,GRBM_SPI_BUSY,SPI_CSN_BUSY,SPI_CSN_WINDOW_VALID,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SALU,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_INSTS_VSKIPPED,SQ_INST_LEVEL_VMEM,TA_BUFFER_WAVEFRONTS_sum,TA_TA_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCP_TD_TCP_STALL_CYCLES_sum,TD_TC_STALL_sum,TD_TD_BUSY_sum
0,5,9,145014,145543,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876274130065,2177876274146305,1,10,142276.0,0.0,142276.0,3551.0,76746.0,300628.0,569104.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,200542.0,0.0,866973.0,1645087.0,1222047.0,56199.0,0.0,1188983.0,1216448.0
1,1,11,145014,145542,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876368767434,2177876368852355,2,20,619987.0,0.0,619987.0,3728.0,404720.0,297947.0,1326521.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,232529.0,0.0,3101254.0,8103506.0,5409356.0,98823.0,87.0,951445.0,5305140.0
2,7,13,145014,145537,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876478849753,2177876478865793,3,30,142943.0,0.0,142943.0,3473.0,76342.0,299680.0,571772.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,191526.0,0.0,864707.0,1638660.0,1224600.0,11892.0,0.0,1191417.0,1218956.0
3,0,15,145014,145536,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876589367517,2177876589382437,4,40,136112.0,0.0,136112.0,3060.0,72611.0,284460.0,544448.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,199832.0,0.0,828827.0,1564535.0,1185294.0,6808.0,0.0,1151940.0,1179664.0
4,6,12,145014,145538,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876699250645,2177876699267125,5,50,147569.0,0.0,147569.0,3426.0,73575.0,283828.0,590276.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,180764.0,0.0,806931.0,1594609.0,1160522.0,1768.0,0.0,1127293.0,1154880.0
5,3,6,145014,145541,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876809706141,2177876809722181,6,60,143408.0,0.0,143408.0,3528.0,76526.0,300466.0,573632.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,195378.0,0.0,860965.0,1643341.0,1213275.0,2413.0,0.0,1180128.0,1207648.0
6,4,14,145014,145540,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177876919374071,2177876919389711,7,70,138575.0,0.0,138575.0,3562.0,75190.0,294918.0,554300.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,199578.0,0.0,866391.0,1617512.0,1221780.0,6647.0,0.0,1188500.0,1216140.0
7,2,10,145014,145539,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177877030745293,2177877030760653,8,80,143066.0,0.0,143066.0,3645.0,73071.0,286362.0,572264.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,194950.0,0.0,836591.0,1572040.0,1190867.0,12185.0,0.0,1157686.0,1185228.0
8,0,15,145014,145014,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2177877326090099,2177877326104899,9,40,138163.0,0.0,138163.0,3069.0,72691.0,0.0,552652.0,0.0,289280.0,0.0,25600.0,0.0,25600.0,0.0,184391.0,0.0,825206.0,1565045.0,1179190.0,1205.0,0.0,1145917.0,1173556.0
9,0,16,145014,145014,512,256,0,0,4,0,16,64,wrapped_iota,2177879214539513,2177879214542433,10,81,66099.0,0.0,66099.0,2971.0,10689.0,0.0,264396.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,105.0,0.0,1687.0,243185.0,2136.0,0.0,0.0,1964.0,2020.0
