Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_STALL,CPC_ME1_BUSY_FOR_PACKET_DECODE,GRBM_COUNT,GRBM_GUI_ACTIVE,SPI_RA_VGPR_SIMD_FULL_CSN,SPI_RA_WAVE_SIMD_FULL_CSN,SQ_ACCUM_PREV_HIRES,SQ_BUSY_CYCLES,SQ_CYCLES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,SQ_LEVEL_WAVES,SQ_WAVES,SQ_WAVE_CYCLES,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCC_CYCLE_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_TRANSLATION_MISS_sum
0,7,12,158295,158819,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180329873193787,2180329873209507,1,10,0.0,125494.0,141918.0,141918.0,0.0,0.0,0.0,269614.0,569121.0,1280.0,77440.0,0.0,320.0,1338488.0,0.0,25600.0,2270688.0,0.0,409600.0,379440.0,1040.0
1,6,14,158295,158824,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180329977206746,2180329977221666,2,20,0.0,119393.0,135185.0,135185.0,0.0,0.0,0.0,264596.0,542285.0,1280.0,77440.0,0.0,320.0,1312751.0,0.0,25600.0,2162960.0,0.0,409600.0,379440.0,1040.0
2,1,7,158295,158821,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330071974381,2180330071990181,3,30,0.0,126858.0,145402.0,145402.0,0.0,0.0,0.0,273194.0,582993.0,1280.0,77440.0,0.0,320.0,1358785.0,0.0,25600.0,2326432.0,0.0,409600.0,379440.0,1040.0
3,3,13,158295,158822,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330180218810,2180330180235090,4,40,0.0,132275.0,150789.0,150789.0,0.0,0.0,0.0,280124.0,604689.0,1280.0,77440.0,0.0,320.0,1392261.0,0.0,25600.0,2412624.0,0.0,409600.0,379440.0,1040.0
4,0,10,158295,158823,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330288636854,2180330288651494,5,50,0.0,123918.0,161205.0,161205.0,0.0,0.0,0.0,260706.0,646305.0,1280.0,77440.0,0.0,320.0,1296567.0,0.0,25600.0,2579280.0,0.0,409600.0,379440.0,1040.0
5,4,11,158295,158820,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330396888620,2180330396904580,6,60,0.0,125904.0,142059.0,142059.0,0.0,0.0,0.0,276014.0,569761.0,1280.0,77440.0,0.0,320.0,1370962.0,0.0,25600.0,2272944.0,0.0,409600.0,379440.0,1040.0
6,5,15,158295,158817,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330505407136,2180330505423336,7,70,0.0,127921.0,144407.0,144407.0,0.0,0.0,0.0,280356.0,578877.0,1280.0,77440.0,0.0,320.0,1386121.0,0.0,25600.0,2310512.0,0.0,409600.0,379449.0,1040.0
7,2,9,158295,158818,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330614128274,2180330614144154,8,80,0.0,122781.0,139663.0,139663.0,0.0,0.0,0.0,278548.0,560157.0,1280.0,77440.0,0.0,320.0,1384030.0,0.0,25600.0,2234608.0,0.0,409600.0,379440.0,1040.0
8,0,10,158295,158295,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2180330901289849,2180330901304729,9,50,0.0,119142.0,135601.0,135601.0,0.0,0.0,0.0,266196.0,543965.0,1280.0,77440.0,0.0,320.0,1323688.0,0.0,25600.0,2169616.0,0.0,409600.0,379440.0,1040.0
9,0,17,158295,159073,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180332124620838,2180332124626438,10,48,0.0,71491.0,88439.0,88439.0,0.0,0.0,0.0,5921.0,353804.0,8.0,40.0,0.0,8.0,3562.0,0.0,8.0,1415024.0,0.0,8.0,6.0,2.0
10,0,16,158295,158295,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2180332151122930,2180332151126850,11,48,0.0,59755.0,76252.0,76252.0,0.0,0.0,0.0,4249.0,306333.0,8.0,40.0,0.0,8.0,3547.0,0.0,8.0,1220032.0,1.0,8.0,6.0,1.0
11,0,16,158295,158295,131072,256,0,0,8,0,16,64,wrapped_broadcast,2180332181579469,2180332181583589,12,81,0.0,49860.0,65555.0,65555.0,0.0,0.0,0.0,56121.0,263761.0,0.0,2048.0,0.0,2048.0,1397787.0,0.0,2048.0,1048880.0,0.0,32768.0,30580.0,80.0
12,0,16,158295,158295,262144,256,0,0,20,0,32,64,softmax_kernel,2180332709501517,2180332709508357,13,82,0.0,53909.0,87877.0,87877.0,0.0,0.0,0.0,123815.0,352853.0,20480.0,16384.0,0.0,4096.0,3663690.0,55207.0,8192.0,1406032.0,1.0,131072.0,124899.0,161.0
13,0,16,158295,158295,262144,256,0,0,20,0,32,64,softmax_kernel,2180332758274722,2180332758281602,14,82,0.0,54870.0,90393.0,90393.0,0.0,0.0,0.0,125957.0,362905.0,20480.0,16384.0,0.0,4096.0,3732743.0,61791.0,8192.0,1446288.0,1.0,131072.0,124926.0,161.0
